OrderID,OrderDate,Product,Category,Quantity,UnitPrice,TotalAmount,Region
1000,2023-01-01,Sandwich,Food,4,448,1792,North
1001,2023-01-01,Coke,Beverage,3,206,618,East
1002,2023-01-01,Fries,Food,4,288,1152,East
1003,2023-01-01,Fries,Food,1,202,202,East
1004,2023-01-01,Pizza,Food,2,314,628,North
1005,2023-01-01,Fries,Food,3,187,561,West
1006,2023-01-01,Pizza,Food,1,199,199,West
1007,2023-01-01,Pepsi,Beverage,4,251,1004,East
1008,2023-01-01,Fries,Food,3,249,747,East
1009,2023-01-01,Pizza,Food,1,357,357,North
1010,2023-01-01,Juice,Beverage,4,393,1572,East
1011,2023-01-01,Pizza,Food,2,291,582,South
1012,2023-01-01,Pasta,Food,4,376,1504,South
1013,2023-01-01,Pizza,Food,1,413,413,West
1014,2023-01-01,Burger,Food,2,352,704,West
1015,2023-01-01,Coke,Beverage,4,444,1776,East
1016,2023-01-01,Pasta,Food,1,158,158,West
1017,2023-01-01,Pasta,Food,3,269,807,South
1018,2023-01-01,Pasta,Food,4,287,1148,East
1019,2023-01-01,Sandwich,Food,4,370,1480,North
1020,2023-01-01,Burger,Food,2,274,548,East
1021,2023-01-01,Pasta,Food,2,150,300,West
1022,2023-01-01,Burger,Food,4,154,616,East
1023,2023-01-01,Coke,Beverage,4,419,1676,North
1024,2023-01-01,Sandwich,Food,1,230,230,North
1025,2023-01-01,Juice,Beverage,1,406,406,North
1026,2023-01-02,Coke,Beverage,1,428,428,South
1027,2023-01-02,Juice,Beverage,3,373,1119,East
1028,2023-01-02,Fries,Food,4,188,752,West
1029,2023-01-02,Sandwich,Food,4,113,452,West
1030,2023-01-02,Coke,Beverage,2,364,728,North
1031,2023-01-02,Pizza,Food,2,152,304,West
1032,2023-01-02,Sandwich,Food,2,439,878,North
1033,2023-01-02,Juice,Beverage,4,466,1864,East
1034,2023-01-02,Pizza,Food,4,363,1452,East
1035,2023-01-02,Pizza,Food,3,134,402,North
1036,2023-01-02,Pepsi,Beverage,2,180,360,South
1037,2023-01-02,Juice,Beverage,4,149,596,East
1038,2023-01-02,Sandwich,Food,4,487,1948,South
1039,2023-01-02,Coke,Beverage,2,489,978,North
1040,2023-01-02,Pepsi,Beverage,2,205,410,West
1041,2023-01-02,Fries,Food,4,409,1636,West
1042,2023-01-02,Coke,Beverage,1,290,290,East
1043,2023-01-02,Sandwich,Food,2,317,634,East
1044,2023-01-02,Pepsi,Beverage,4,261,1044,South
1045,2023-01-02,Coke,Beverage,2,369,738,West
1046,2023-01-02,Burger,Food,3,403,1209,North
1047,2023-01-02,Pasta,Food,3,314,942,West
1048,2023-01-02,Pizza,Food,4,289,1156,East
1049,2023-01-02,Fries,Food,4,312,1248,West
1050,2023-01-02,Sandwich,Food,4,336,1344,East
1051,2023-01-02,Coke,Beverage,2,466,932,South
1052,2023-01-03,Pizza,Food,4,316,1264,South
1053,2023-01-03,Juice,Beverage,4,287,1148,West
1054,2023-01-03,Pepsi,Beverage,4,140,560,South
1055,2023-01-03,Fries,Food,1,114,114,North
1056,2023-01-03,Pasta,Food,1,164,164,South
1057,2023-01-03,Juice,Beverage,1,426,426,West
1058,2023-01-03,Pizza,Food,1,443,443,North
1059,2023-01-03,Burger,Food,1,235,235,North
1060,2023-01-03,Pepsi,Beverage,4,162,648,East
1061,2023-01-03,Pasta,Food,3,180,540,West
1062,2023-01-03,Pepsi,Beverage,4,262,1048,North
1063,2023-01-03,Juice,Beverage,3,388,1164,East
1064,2023-01-03,Coke,Beverage,3,360,1080,North
1065,2023-01-03,Fries,Food,2,330,660,East
1066,2023-01-03,Pepsi,Beverage,2,140,280,West
1067,2023-01-03,Pepsi,Beverage,4,234,936,West
1068,2023-01-03,Fries,Food,1,427,427,East
1069,2023-01-03,Sandwich,Food,4,132,528,East
1070,2023-01-03,Juice,Beverage,4,161,644,East
1071,2023-01-03,Pizza,Food,4,392,1568,East
1072,2023-01-03,Coke,Beverage,3,271,813,South
1073,2023-01-03,Pepsi,Beverage,4,313,1252,South
1074,2023-01-03,Coke,Beverage,3,134,402,West
1075,2023-01-03,Fries,Food,1,326,326,East
1076,2023-01-03,Pepsi,Beverage,1,230,230,West
1077,2023-01-03,Pasta,Food,1,104,104,South
1078,2023-01-03,Sandwich,Food,2,354,708,East
1079,2023-01-03,Sandwich,Food,2,458,916,East
1080,2023-01-03,Pizza,Food,3,492,1476,North
1081,2023-01-03,Burger,Food,3,114,342,East
1082,2023-01-03,Sandwich,Food,2,141,282,East
1083,2023-01-03,Coke,Beverage,4,278,1112,North
1084,2023-01-03,Fries,Food,3,451,1353,North
1085,2023-01-03,Sandwich,Food,3,340,1020,East
1086,2023-01-03,Sandwich,Food,4,195,780,West
1087,2023-01-03,Sandwich,Food,4,321,1284,North
1088,2023-01-03,Coke,Beverage,1,330,330,West
1089,2023-01-03,Coke,Beverage,1,242,242,South
1090,2023-01-03,Coke,Beverage,3,128,384,South
1091,2023-01-03,Coke,Beverage,4,112,448,South
1092,2023-01-04,Pizza,Food,3,342,1026,North
1093,2023-01-04,Sandwich,Food,2,383,766,West
